modello,macro_F1,sd,bal_acc,accuracy
Random Forest,0.7415038564201557,0.008144337052087836,0.780809119047216,0.7478
Gradient Boosting (hist),0.7337345906919343,0.005575038428993189,0.759253412851385,0.7422000000000001
Decision Tree (depth 4),0.7266372122651578,0.00961241450222445,0.7747676240366167,0.7306
SVC (kernel RBF),0.7193244665614482,0.010201622828578035,0.7652813147407318,0.726
Logistic Regression (L2),0.7110582530875014,0.011726646675480644,0.7549189620104243,0.7171
Linear SVC,0.7071788233236445,0.011426086057940248,0.7497370868596663,0.7148
Dummy (stratified),0.3362357359938396,0.013030432500968681,0.3362635973116066,0.384
