modello,macro_F1,sd_folds,SE,best_params,n_config,sec
Random Forest,0.744,0.008,0.0036,"{'max_depth': 12, 'max_features': 0.4, 'min_samples_leaf': 1, 'n_estimators': 300}",36,471.4984
Gradient Boosting (hist),0.7373,0.0099,0.0044,"{'l2_regularization': 1.0, 'learning_rate': 0.05, 'max_iter': 200, 'max_leaf_nodes': 31}",24,352.0939
Decision Tree,0.7355,0.0114,0.0051,"{'max_depth': 6, 'min_samples_leaf': 100}",28,4.1964
SVC (kernel RBF),0.7229,0.0103,0.0046,"{'C': 10.0, 'gamma': 0.01}",20,215.8609
Logistic Regression (L2),0.7115,0.0118,0.0053,{'C': 10.0},7,3.631
Linear SVC,0.7074,0.0113,0.005,{'C': 0.03},6,2.6748
